Linux 5.15.0-113-generic (cryptoguard) 	07/17/24 	_x86_64_	(20 CPU)

09:15:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:46      19   12.37    0.00   17.53    0.00    0.00    6.19    0.00    0.00    0.00   63.92

09:15:46     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:47     all    8.90    0.00   12.17   21.87    0.00    4.88    0.00    0.00    0.00   52.19
09:15:47       0   26.73    0.00   55.45    0.00    0.00   12.87    0.00    0.00    0.00    4.95
09:15:47       1    1.90    0.00    0.95   31.43    0.00    7.62    0.00    0.00    0.00   58.10
09:15:47       2    0.98    0.00    0.00   54.90    0.00    4.90    0.00    0.00    0.00   39.22
09:15:47       3    3.92    0.00    2.94   85.29    0.00    0.00    0.00    0.00    0.00    7.84
09:15:47       4    3.03    0.00    1.01   15.15    0.00    0.00    0.00    0.00    0.00   80.81
09:15:47       5   14.14    0.00   27.27    0.00    0.00   15.15    0.00    0.00    0.00   43.43
09:15:47       6   18.75    0.00   17.71   17.71    0.00   14.58    0.00    0.00    0.00   31.25
09:15:47       7    6.06    0.00   10.10   16.16    0.00    3.03    0.00    0.00    0.00   64.65
09:15:47       8    7.45    0.00    8.51   15.96    0.00    2.13    0.00    0.00    0.00   65.96
09:15:47       9   10.10    0.00   10.10    4.04    0.00    2.02    0.00    0.00    0.00   73.74
09:15:47      10   11.76    0.00    9.80   19.61    0.00    4.90    0.00    0.00    0.00   53.92
09:15:47      11    5.05    0.00    8.08   11.11    0.00    1.01    0.00    0.00    0.00   74.75
09:15:47      12    6.93    0.00    9.90   53.47    0.00    3.96    0.00    0.00    0.00   25.74
09:15:47      13    7.77    0.00    7.77   51.46    0.00    3.88    0.00    0.00    0.00   29.13
09:15:47      14    6.12    0.00    5.10   55.10    0.00    1.02    0.00    0.00    0.00   32.65
09:15:47      15   11.00    0.00   15.00    0.00    0.00    7.00    0.00    0.00    0.00   67.00
09:15:47      16    6.45    0.00   12.90    0.00    0.00    3.23    0.00    0.00    0.00   77.42
09:15:47      17   10.31    0.00   16.49    0.00    0.00    1.03    0.00    0.00    0.00   72.16
09:15:47      18    9.28    0.00   15.46    0.00    0.00    4.12    0.00    0.00    0.00   71.13
09:15:47      19   10.68    0.00    9.71    0.00    0.00    4.85    0.00    0.00    0.00   74.76

09:15:47     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:48     all    7.96    0.00   13.10   26.19    0.00    3.54    0.00    0.00    0.00   49.20
09:15:48       0    3.16    0.00    5.26    7.37    0.00    2.11    0.00    0.00    0.00   82.11
09:15:48       1    4.90    0.00    7.84   70.59    0.00    1.96    0.00    0.00    0.00   14.71
09:15:48       2    3.16    0.00    4.21   49.47    0.00    1.05    0.00    0.00    0.00   42.11
09:15:48       3    5.26    0.00    7.37   41.05    0.00    1.05    0.00    0.00    0.00   45.26
09:15:48       4    6.25    0.00    7.29    0.00    0.00    1.04    0.00    0.00    0.00   85.42
09:15:48       5    9.18    0.00   12.24   27.55    0.00    2.04    0.00    0.00    0.00   48.98
09:15:48       6    5.05    0.00   15.15   23.23    0.00    4.04    0.00    0.00    0.00   52.53
09:15:48       7    8.89    0.00    8.89   17.78    0.00    2.22    0.00    0.00    0.00   62.22
09:15:48       8    8.51    0.00    9.57   28.72    0.00    2.13    0.00    0.00    0.00   51.06
09:15:48       9    8.16    0.00   11.22   29.59    0.00    4.08    0.00    0.00    0.00   46.94
09:15:48      10    6.00    0.00    6.00   20.00    0.00    2.00    0.00    0.00    0.00   66.00
09:15:48      11   10.89    0.00   16.83   36.63    0.00    8.91    0.00    0.00    0.00   26.73
09:15:48      12   14.14    0.00   21.21   27.27    0.00   12.12    0.00    0.00    0.00   25.25
09:15:48      13    3.03    0.00    5.05   71.72    0.00    1.01    0.00    0.00    0.00   19.19
09:15:48      14    7.77    0.00    0.97   66.02    0.00    0.00    0.00    0.00    0.00   25.24
09:15:48      15   20.20    0.00   50.51    0.00    0.00   10.10    0.00    0.00    0.00   19.19
09:15:48      16    8.42    0.00   10.53    0.00    0.00    1.05    0.00    0.00    0.00   80.00
09:15:48      17   11.34    0.00   30.93    0.00    0.00    6.19    0.00    0.00    0.00   51.55
09:15:48      18    8.08    0.00   17.17    0.00    0.00    4.04    0.00    0.00    0.00   70.71
09:15:48      19    6.45    0.00   12.90    0.00    0.00    3.23    0.00    0.00    0.00   77.42

09:15:48     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:49     all    7.74    0.00   12.30   21.42    0.00    4.31    0.00    0.00    0.00   54.23
09:15:49       0   17.31    0.00   27.88   16.35    0.00   13.46    0.00    0.00    0.00   25.00
09:15:49       1    5.05    0.00    2.02   27.27    0.00    2.02    0.00    0.00    0.00   63.64
09:15:49       2    4.00    0.00    6.00   55.00    0.00    2.00    0.00    0.00    0.00   33.00
09:15:49       3    4.04    0.00   13.13   54.55    0.00    4.04    0.00    0.00    0.00   24.24
09:15:49       4    6.06    0.00    4.04   32.32    0.00    2.02    0.00    0.00    0.00   55.56
09:15:49       5   15.46    0.00   29.90   36.08    0.00    7.22    0.00    0.00    0.00   11.34
09:15:49       6    6.25    0.00    6.25   23.96    0.00    3.12    0.00    0.00    0.00   60.42
09:15:49       7    8.25    0.00   14.43   14.43    0.00    3.09    0.00    0.00    0.00   59.79
09:15:49       8    6.12    0.00   14.29   13.27    0.00    3.06    0.00    0.00    0.00   63.27
09:15:49       9    7.53    0.00   12.90   34.41    0.00    4.30    0.00    0.00    0.00   40.86
09:15:49      10    1.03    0.00    0.00   20.62    0.00    0.00    0.00    0.00    0.00   78.35
09:15:49      11   19.19    0.00   27.27    0.00    0.00   20.20    0.00    0.00    0.00   33.33
09:15:49      12    6.00    0.00   13.00   26.00    0.00    4.00    0.00    0.00    0.00   51.00
09:15:49      13    3.09    0.00    3.09   60.82    0.00    2.06    0.00    0.00    0.00   30.93
09:15:49      14    1.02    0.00    1.02   11.22    0.00    1.02    0.00    0.00    0.00   85.71
09:15:49      15   11.96    0.00    9.78    0.00    0.00    2.17    0.00    0.00    0.00   76.09
09:15:49      16    6.32    0.00   16.84    0.00    0.00    2.11    0.00    0.00    0.00   74.74
09:15:49      17    7.29    0.00   14.58    0.00    0.00    4.17    0.00    0.00    0.00   73.96
09:15:49      18   10.31    0.00   16.49    0.00    0.00    2.06    0.00    0.00    0.00   71.13
09:15:49      19    8.16    0.00   12.24    0.00    0.00    3.06    0.00    0.00    0.00   76.53

09:15:49     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:15:50     all    7.80    0.00   13.14   21.92    0.00    4.41    0.00    0.00    0.00   52.72
09:15:50       0    6.25    0.00    8.33   31.25    0.00    5.21    0.00    0.00    0.00   48.96
09:15:50       1    8.16    0.00    9.18   44.90    0.00    3.06    0.00    0.00    0.00   34.69
09:15:50       2    8.08    0.00   13.13   21.21    0.00    2.02    0.00    0.00    0.00   55.56
09:15:50       3    5.26    0.00    7.37   17.89    0.00    3.16    0.00    0.00    0.00   66.32
09:15:50       4    7.29    0.00    8.33   23.96    0.00    3.12    0.00    0.00    0.00   57.29
09:15:50       5    5.94    0.00   12.87   29.70    0.00    1.98    0.00    0.00    0.00   49.50
09:15:50       6    3.03    0.00    4.04   37.37    0.00    1.01    0.00    0.00    0.00   54.55
09:15:50       7   23.76    0.00   59.41    0.00    0.00   13.86    0.00    0.00    0.00    2.97
09:15:50       8    4.04    0.00    2.02   63.64    0.00    0.00    0.00    0.00    0.00   30.30
09:15:50       9    5.94    0.00    8.91   40.59    0.00    2.97    0.00    0.00    0.00   41.58
09:15:50      10    2.13    0.00    4.26   17.02    0.00    0.00    0.00    0.00    0.00   76.60
09:15:50      11   15.15    0.00   22.22   27.27    0.00   19.19    0.00    0.00    0.00   16.16
09:15:50      12    1.04    0.00    3.12   42.71    0.00    0.00    0.00    0.00    0.00   53.12
