Time,cpu usage
12시 47분 41초,99.25
12시 47분 42초,95.21
12시 47분 43초,93.72
12시 47분 44초,99.5
12시 47분 45초,99.75
12시 47분 46초,99.75
12시 47분 47초,100.0
12시 47분 48초,99.5
12시 47분 49초,100.0
12시 47분 50초,100.0
12시 47분 51초,97.49
12시 47분 52초,99.75
12시 47분 53초,100.0
12시 47분 54초,99.75
12시 47분 55초,100.0
12시 47분 56초,99.5
12시 47분 57초,100.0
12시 47분 58초,99.5
12시 47분 59초,99.75
12시 48분 00초,99.25
12시 48분 01초,99.5
12시 48분 02초,99.5
12시 48분 03초,100.0
12시 48분 04초,99.25
12시 48분 05초,100.0
12시 48분 06초,99.75
12시 48분 07초,99.25
12시 48분 08초,99.0
12시 48분 09초,99.5
12시 48분 10초,99.24
12시 48분 11초,99.5
12시 48분 12초,99.75
12시 48분 13초,99.5
12시 48분 14초,99.75
12시 48분 15초,99.75
12시 48분 16초,98.01
12시 48분 17초,99.75
12시 48분 18초,99.75
12시 48분 19초,100.0
12시 48분 20초,99.75
12시 48분 21초,99.49
12시 48분 22초,100.0
12시 48분 23초,100.0
12시 48분 24초,99.75
12시 48분 25초,100.0
12시 48분 26초,62.31
12시 48분 27초,74.69
12시 48분 28초,74.75
12시 48분 29초,72.75
12시 48분 30초,92.93
12시 48분 31초,99.5
12시 48분 32초,100.0
12시 48분 33초,99.75
12시 48분 34초,100.0
12시 48분 35초,99.5
12시 48분 36초,99.75
12시 48분 37초,100.0
12시 48분 38초,100.0
12시 48분 39초,99.75
12시 48분 40초,100.0
12시 48분 51초,98.74
12시 48분 52초,93.2
12시 48분 53초,98.24
12시 48분 54초,99.75
12시 48분 55초,100.0
12시 48분 56초,99.5
12시 48분 57초,97.49
12시 48분 58초,99.75
12시 48분 59초,100.0
12시 49분 00초,99.25
12시 49분 01초,96.98
12시 49분 02초,99.5
12시 49분 03초,99.25
12시 49분 04초,99.25
12시 49분 05초,100.0
12시 49분 06초,99.5
12시 49분 07초,100.0
12시 49분 08초,99.5
12시 49분 09초,99.5
12시 49분 10초,99.75
12시 49분 11초,98.75
12시 49분 12초,100.0
12시 49분 13초,99.25
12시 49분 14초,98.99
12시 49분 15초,99.75
12시 49분 16초,100.0
12시 49분 17초,100.0
12시 49분 18초,99.0
12시 49분 19초,100.0
12시 49분 20초,99.5
12시 49분 21초,99.5
12시 49분 22초,99.5
12시 49분 23초,100.0
12시 49분 24초,98.99
12시 49분 25초,99.5
12시 49분 26초,99.75
12시 49분 27초,99.75
12시 49분 28초,99.75
12시 49분 29초,99.75
12시 49분 30초,98.99
12시 49분 31초,100.0
12시 49분 32초,100.0
12시 49분 33초,99.5
12시 49분 34초,99.75
12시 49분 35초,99.75
12시 49분 36초,61.81
12시 49분 37초,74.25
12시 49분 38초,75.0
12시 49분 39초,72.0
12시 49분 40초,93.22
12시 49분 41초,99.75
12시 49분 42초,99.75
12시 49분 43초,99.75
12시 49분 44초,99.75
12시 49분 45초,99.0
12시 49분 46초,100.0
12시 49분 47초,99.75
12시 49분 48초,100.0
12시 49분 49초,99.5
12시 49분 50초,99.25
