Process,Benign,Malware
Softwar~cThread.csv,8.272369e-06,0.9999917
Xwayland.csv,1.541578e-25,0.99999994
Worker Launcher.csv,0.99998194,1.8021288e-05
single.csv,0.99999994,1.1790671e-09
Timer.csv,8.272369e-06,0.9999918
threaded-ml.csv,1.0,1.7724725e-09
JS Watchdog.csv,0.9942,0.0057999766
ImageBridgeChld.csv,8.272369e-06,0.9999918
Privileged Cont.csv,1.0,1.6986516e-15
gvfs-goa-volume.csv,1.0,9.428445e-10
