Time,CPU Usage
21시 22분 07초,0.5
21시 22분 08초,0.0
21시 22분 09초,0.0
21시 22분 10초,0.75
21시 22분 11초,0.25
21시 22분 12초,0.5
21시 22분 13초,0.5
21시 22분 14초,0.25
21시 22분 15초,0.0
21시 22분 16초,0.0
21시 22분 17초,0.25
21시 22분 18초,0.0
21시 22분 19초,0.5
21시 22분 20초,0.0
21시 22분 21초,0.0
21시 22분 22초,0.25
21시 22분 23초,0.0
21시 22분 24초,0.0
21시 26분 23초,1.0
21시 26분 24초,0.25
21시 26분 25초,0.0
21시 26분 26초,0.0
21시 26분 27초,1.25
21시 26분 28초,0.5
21시 26분 29초,0.75
21시 26분 30초,0.75
21시 26분 31초,0.25
21시 26분 32초,0.0
21시 26분 33초,0.25
21시 26분 34초,0.25
21시 26분 35초,0.5
21시 26분 36초,0.5
21시 26분 37초,0.75
21시 26분 38초,0.5
21시 26분 39초,0.5
21시 26분 40초,0.25
21시 26분 41초,0.25
21시 26분 42초,0.0
21시 26분 43초,1.0
21시 26분 44초,0.0
21시 26분 45초,0.25
21시 26분 46초,0.25
21시 26분 47초,0.25
21시 26분 48초,0.5
21시 26분 49초,0.0
21시 26분 50초,0.0
21시 26분 51초,1.25
21시 26분 52초,0.0
21시 26분 53초,0.5
21시 26분 54초,0.25
21시 26분 55초,0.25
21시 26분 56초,0.0
21시 26분 57초,0.25
21시 26분 58초,0.5
21시 26분 59초,0.25
21시 27분 00초,0.25
21시 27분 01초,0.25
21시 27분 02초,0.25
21시 27분 03초,0.5
21시 27분 04초,0.0
21시 27분 05초,0.25
21시 27분 06초,0.25
21시 27분 07초,0.25
21시 27분 08초,0.5
21시 27분 09초,0.0
21시 27분 10초,1.0100000000000051
21시 27분 11초,0.0
21시 27분 12초,0.0
21시 27분 13초,0.75
21시 27분 14초,0.25
21시 27분 15초,0.0
21시 27분 16초,0.0
21시 27분 17초,0.0
21시 27분 18초,0.25
21시 27분 19초,0.0
21시 27분 20초,0.0
21시 27분 21초,0.0
21시 27분 22초,0.25
21시 25분 18초,0.5
21시 25분 19초,0.25
21시 25분 20초,1.0
21시 25분 21초,1.7600000000000051
21시 25분 22초,0.25
21시 25분 23초,0.5
21시 25분 24초,0.5
21시 25분 25초,0.25
21시 25분 26초,0.0
21시 25분 27초,0.5100000000000051
21시 25분 28초,0.5
21시 25분 29초,0.0
21시 25분 30초,0.25
21시 25분 31초,1.5
21시 25분 32초,0.5
21시 25분 33초,1.7399999999999949
21시 25분 34초,0.5
21시 25분 35초,0.25
21시 25분 36초,1.0
21시 25분 37초,0.5
21시 25분 38초,0.25
21시 25분 39초,0.25
21시 25분 40초,0.25
21시 25분 41초,0.75
21시 25분 42초,0.25
21시 25분 43초,0.25
21시 25분 44초,0.25
21시 25분 45초,0.25
21시 25분 46초,0.0
21시 25분 47초,0.0
21시 25분 48초,0.25
21시 25분 49초,0.0
21시 25분 50초,0.0
21시 25분 51초,0.5
21시 25분 52초,0.5
21시 25분 53초,0.25
21시 25분 54초,0.0
21시 25분 55초,0.0
21시 25분 56초,0.0
21시 25분 57초,0.0
21시 25분 58초,0.75
21시 25분 59초,0.0
21시 26분 00초,0.5
21시 26분 01초,0.25
21시 26분 02초,0.25
21시 26분 03초,0.0
21시 26분 04초,0.25
21시 26분 05초,0.25
21시 26분 06초,0.0
21시 26분 07초,0.0
21시 26분 08초,0.25
21시 26분 09초,0.0
21시 26분 10초,0.75
21시 26분 11초,0.5
21시 26분 12초,0.0
21시 26분 13초,0.0
21시 26분 14초,1.0
21시 26분 15초,0.0
21시 26분 16초,0.25
21시 26분 17초,1.25
21시 32분 07초,0.5
21시 32분 08초,1.25
21시 32분 09초,0.0
21시 32분 10초,0.25
21시 32분 11초,0.0
21시 32분 12초,0.25
21시 32분 13초,0.9899999999999949
21시 32분 14초,0.25
21시 32분 15초,0.0
21시 32분 16초,2.739999999999995
21시 32분 17초,0.25
21시 32분 18초,0.0
21시 32분 19초,0.25
21시 32분 20초,0.25
21시 32분 21초,0.0
21시 32분 22초,0.5
21시 32분 23초,0.25
