Time,CPU Usage
12시 43분 11초,1.2600000000000051
12시 43분 12초,0.0
12시 43분 13초,0.0
12시 43분 14초,0.75
12시 43분 15초,0.5
12시 44분 09초,1.0
12시 44분 09초,1.25
12시 44분 11초,10.049999999999997
12시 44분 11초,1.0
12시 44분 13초,0.25
12시 44분 14초,1.25
12시 44분 15초,0.75
12시 44분 16초,0.0
12시 44분 17초,0.25
12시 44분 18초,0.5
12시 44분 19초,2.530000000000001
12시 44분 20초,0.75
12시 44분 21초,0.0
12시 44분 22초,0.25
12시 44분 23초,0.7399999999999949
12시 44분 24초,0.0
12시 44분 25초,0.5
12시 44분 26초,0.25
12시 44분 27초,0.5
12시 44분 28초,0.0
12시 44분 29초,0.25
12시 44분 30초,0.5
12시 44분 31초,0.25
12시 44분 32초,0.0
12시 44분 33초,0.25
12시 44분 34초,0.0
12시 44분 35초,0.5
12시 44분 36초,0.75
12시 44분 37초,0.0
12시 44분 38초,0.0
12시 44분 39초,0.0
12시 44분 40초,0.5
12시 44분 41초,0.0
12시 44분 42초,0.5
12시 44분 43초,0.25
12시 44분 44초,0.0
12시 44분 45초,0.75
12시 44분 46초,0.25
12시 44분 47초,0.0
12시 44분 48초,0.5
12시 44분 49초,0.5100000000000051
12시 44분 50초,0.0
12시 44분 51초,0.5100000000000051
12시 44분 52초,0.0
12시 44분 53초,0.25
12시 44분 54초,9.599999999999994
12시 44분 55초,35.43000000000001
12시 44분 56초,25.0
12시 44분 57초,26.5
12시 44분 58초,25.689999999999998
12시 44분 59초,0.5
12시 45분 00초,0.75
12시 45분 01초,0.25
12시 45분 02초,0.5
12시 45분 03초,0.75
12시 45분 04초,0.75
12시 45분 05초,0.25
12시 45분 06초,0.5
12시 45분 07초,0.25
12시 45분 08초,0.0
12시 46분 32초,0.25
12시 46분 33초,1.75
12시 46분 34초,9.569999999999993
12시 46분 35초,0.25
12시 46분 36초,0.25
12시 46분 37초,0.75
12시 46분 38초,0.25
12시 46분 39초,0.0
12시 46분 40초,0.25
12시 46분 41초,0.75
12시 46분 42초,3.010000000000005
12시 46분 43초,0.0
12시 46분 44초,0.0
12시 46분 45초,0.0
12시 46분 46초,0.0
12시 46분 47초,0.75
12시 46분 48초,0.5
12시 46분 49초,0.0
12시 46분 50초,0.5
12시 46분 51초,0.0
12시 46분 52초,0.5
12시 46분 53초,0.0
12시 46분 54초,0.5
12시 46분 55초,0.25
12시 46분 56초,0.75
12시 46분 57초,0.5
12시 46분 58초,0.0
12시 46분 59초,1.0
12시 47분 00초,0.5
12시 47분 01초,0.5
12시 47분 02초,0.25
12시 47분 03초,0.0
12시 47분 04초,0.25
12시 47분 05초,0.75
12시 47분 06초,0.5
12시 47분 07초,0.5
12시 47분 08초,0.25
12시 47분 09초,0.5
12시 47분 10초,0.25
12시 47분 11초,1.769999999999996
12시 47분 12초,0.7600000000000051
12시 47분 13초,0.0
12시 47분 14초,0.5
