Time,cpu usage
15시 09분 59초,8.12
15시 10분 00초,0.75
15시 10분 01초,1.0
15시 10분 02초,0.5
15시 10분 03초,0.75
15시 10분 04초,0.25
15시 10분 05초,0.75
15시 10분 06초,1.0
15시 10분 07초,1.0
15시 10분 08초,1.26
15시 10분 09초,0.51
15시 10분 10초,1.0
15시 10분 11초,0.5
15시 10분 12초,1.25
15시 10분 13초,1.52
15시 10분 14초,1.02
15시 10분 15초,1.77
15시 10분 16초,1.79
15시 10분 17초,1.27
15시 10분 18초,1.53
15시 10분 19초,1.01
15시 10분 20초,0.76
15시 10분 21초,1.53
15시 10분 22초,1.26
15시 10분 23초,1.26
15시 10분 24초,1.02
15시 10분 25초,1.01
15시 10분 26초,1.52
15시 10분 27초,1.28
15시 10분 28초,1.0
15시 10분 29초,1.03
15시 10분 30초,2.26
15시 10분 31초,1.02
15시 10분 32초,0.51
15시 10분 33초,1.79
15시 10분 34초,1.25
15시 10분 35초,1.53
15시 10분 36초,1.77
15시 10분 37초,0.51
15시 10분 38초,1.52
15시 10분 39초,1.01
15시 10분 40초,1.28
15시 10분 41초,0.51
15시 10분 42초,1.78
15시 10분 43초,2.53
15시 10분 44초,1.51
15시 10분 45초,0.76
15시 10분 46초,1.5
15시 10분 47초,0.0
15시 10분 48초,1.25
15시 10분 49초,2.02
15시 10분 50초,1.0
15시 10분 51초,1.52
15시 10분 52초,1.26
15시 10분 53초,1.26
15시 10분 54초,0.5
15시 10분 55초,0.25
15시 10분 56초,0.25
15시 10분 57초,0.5
15시 10분 58초,1.25
15시 10분 59초,0.25
15시 11분 00초,0.0
15시 11분 01초,0.25
15시 11분 02초,0.75
15시 11분 03초,0.75
15시 11분 04초,0.25
15시 11분 05초,0.5
15시 11분 06초,0.25
15시 11분 07초,1.0
15시 11분 08초,0.25
15시 11분 09초,0.75
15시 11분 10초,0.0
15시 11분 11초,0.5
15시 11분 12초,0.75
15시 11분 13초,0.25
15시 11분 14초,0.0
15시 11분 15초,0.76
15시 11분 16초,1.0
15시 11분 17초,1.0
15시 11분 18초,50.75
15시 11분 19초,96.48
15시 11분 20초,98.24
15시 11분 21초,96.75
15시 11분 22초,97.99
15시 11분 23초,96.5
15시 11분 24초,96.99
15시 11분 25초,96.75
15시 11분 26초,98.25
15시 11분 27초,93.22
15시 11분 28초,98.0
15시 11분 48초,0.25
15시 11분 49초,1.01
15시 11분 50초,1.01
15시 11분 51초,0.5
15시 11분 52초,1.51
15시 11분 53초,1.01
15시 11분 54초,0.5
15시 11분 55초,0.75
15시 11분 56초,0.75
15시 11분 57초,3.5
15시 11분 58초,0.51
15시 11분 59초,1.5
15시 12분 00초,0.76
15시 12분 01초,0.5
15시 12분 02초,1.25
15시 12분 03초,2.05
15시 12분 04초,0.76
15시 12분 05초,1.26
15시 12분 06초,2.29
15시 12분 07초,1.01
15시 12분 08초,1.77
15시 12분 09초,1.02
15시 12분 10초,0.75
15시 12분 11초,1.52
15시 12분 12초,0.51
15시 12분 13초,15.27
15시 12분 14초,1.0
15시 12분 15초,1.51
15시 12분 16초,3.08
15시 12분 17초,2.28
15시 12분 18초,1.27
15시 12분 19초,1.52
15시 12분 20초,1.27
15시 12분 21초,1.53
15시 12분 22초,0.51
15시 12분 23초,0.76
15시 12분 24초,1.52
15시 12분 25초,1.52
15시 12분 26초,1.78
15시 12분 27초,1.51
15시 12분 28초,1.01
15시 12분 29초,1.78
15시 12분 30초,0.51
15시 12분 31초,3.28
15시 12분 32초,0.76
15시 12분 33초,0.5
15시 12분 34초,0.75
15시 12분 35초,0.5
15시 12분 36초,1.51
15시 12분 37초,0.75
15시 12분 38초,1.25
15시 12분 39초,0.5
15시 12분 40초,0.75
15시 12분 41초,3.25
15시 12분 42초,1.52
15시 12분 43초,1.24
15시 12분 44초,0.0
15시 12분 45초,0.25
15시 12분 46초,1.0
