Time,cpu usage
16시 00분 12초,99.75
16시 00분 13초,99.5
16시 00분 14초,100.0
16시 00분 15초,100.0
16시 00분 16초,100.0
16시 00분 17초,99.5
16시 00분 18초,100.0
16시 00분 19초,99.75
16시 00분 20초,99.75
16시 00분 21초,99.75
16시 00분 22초,99.5
16시 00분 23초,100.0
16시 00분 24초,100.0
16시 00분 25초,100.0
16시 00분 26초,99.75
16시 00분 27초,99.5
16시 00분 28초,100.0
16시 00분 29초,100.0
16시 00분 30초,99.75
16시 00분 31초,100.0
16시 00분 32초,99.75
16시 00분 33초,99.75
16시 00분 34초,99.75
16시 00분 35초,100.0
16시 00분 36초,99.75
16시 00분 37초,99.75
16시 00분 38초,99.75
16시 00분 39초,99.75
16시 00분 40초,100.0
16시 00분 41초,100.0
16시 00분 42초,99.5
16시 00분 43초,100.0
16시 00분 44초,100.0
16시 00분 45초,100.0
16시 00분 46초,99.25
16시 00분 47초,99.25
16시 00분 48초,100.0
16시 00분 49초,99.5
16시 00분 50초,99.75
16시 00분 51초,99.75
16시 00분 52초,99.25
16시 00분 53초,99.75
16시 00분 54초,99.75
16시 00분 55초,100.0
16시 00분 56초,100.0
16시 00분 57초,99.5
16시 00분 58초,99.75
16시 00분 59초,99.75
16시 01분 00초,99.75
16시 01분 01초,99.5
16시 01분 02초,99.75
16시 01분 03초,100.0
16시 01분 04초,98.76
16시 01분 05초,100.0
16시 01분 06초,100.0
16시 01분 07초,99.75
16시 01분 08초,100.0
16시 01분 09초,100.0
16시 01분 10초,100.0
16시 01분 11초,99.25
16시 01분 12초,99.75
16시 01분 13초,100.0
16시 01분 14초,100.0
16시 01분 15초,99.75
16시 01분 16초,100.0
16시 01분 17초,99.75
16시 01분 18초,99.75
16시 01분 19초,100.0
16시 01분 20초,99.75
16시 01분 21초,99.5
16시 01분 22초,99.5
16시 01분 23초,100.0
16시 01분 24초,100.0
16시 01분 25초,100.0
16시 01분 26초,99.75
16시 01분 27초,99.5
16시 01분 28초,100.0
16시 01분 29초,100.0
16시 01분 30초,99.75
16시 01분 31초,100.0
16시 01분 32초,99.75
16시 01분 33초,100.0
16시 01분 34초,99.5
16시 01분 35초,99.75
16시 01분 36초,100.0
16시 01분 37초,99.5
16시 01분 38초,100.0
16시 01분 39초,100.0
16시 01분 40초,99.5
16시 01분 41초,99.75
15시 58분 36초,99.75
15시 58분 37초,99.75
15시 58분 38초,100.0
15시 58분 39초,100.0
15시 58분 40초,100.0
15시 58분 41초,99.5
15시 58분 42초,99.24
15시 58분 43초,99.75
15시 58분 44초,98.23
15시 58분 45초,99.0
15시 58분 46초,99.5
15시 58분 47초,100.0
15시 58분 48초,100.0
15시 58분 49초,100.0
15시 58분 50초,99.75
15시 58분 51초,99.5
15시 58분 52초,98.25
15시 58분 53초,100.0
15시 58분 54초,99.25
15시 58분 55초,100.0
15시 58분 56초,99.25
15시 58분 57초,100.0
15시 58분 58초,99.75
15시 58분 59초,100.0
15시 59분 00초,99.75
15시 59분 01초,99.5
15시 59분 02초,100.0
15시 59분 03초,99.75
15시 59분 04초,99.5
15시 59분 05초,100.0
15시 59분 06초,99.75
15시 59분 07초,100.0
15시 59분 08초,99.75
15시 59분 09초,100.0
15시 59분 10초,99.25
15시 59분 11초,99.5
15시 59분 12초,99.75
15시 59분 13초,99.75
15시 59분 14초,99.25
15시 59분 15초,99.25
15시 59분 16초,99.25
15시 59분 17초,100.0
15시 59분 18초,99.75
15시 59분 19초,99.5
15시 59분 20초,100.0
15시 59분 21초,99.5
15시 59분 22초,99.75
15시 59분 23초,100.0
15시 59분 24초,99.5
15시 59분 25초,99.5
15시 59분 26초,99.75
15시 59분 27초,99.75
15시 59분 28초,99.75
15시 59분 29초,100.0
15시 59분 30초,99.5
15시 59분 31초,100.0
15시 59분 32초,100.0
15시 59분 33초,99.75
15시 59분 34초,100.0
15시 59분 35초,99.75
15시 59분 36초,99.75
15시 59분 37초,99.5
15시 59분 38초,99.75
15시 59분 39초,99.75
15시 59분 40초,99.75
15시 59분 41초,99.75
15시 59분 42초,100.0
15시 59분 43초,100.0
15시 59분 44초,100.0
15시 59분 45초,97.75
15시 59분 46초,100.0
15시 59분 47초,100.0
15시 59분 48초,100.0
15시 59분 49초,99.75
15시 59분 50초,100.0
15시 59분 51초,100.0
15시 59분 52초,100.0
15시 59분 53초,100.0
15시 59분 54초,99.75
15시 59분 55초,99.5
15시 59분 56초,100.0
15시 59분 57초,100.0
15시 59분 58초,100.0
15시 59분 59초,100.0
16시 00분 00초,99.5
16시 00분 01초,100.0
16시 00분 02초,100.0
16시 00분 03초,100.0
16시 00분 04초,100.0
16시 00분 05초,99.75
15시 55분 35초,99.75
15시 55분 36초,99.5
15시 55분 37초,99.5
15시 55분 38초,99.5
15시 55분 39초,99.0
15시 55분 40초,98.74
15시 55분 41초,98.75
15시 55분 42초,99.75
15시 55분 43초,99.75
15시 55분 44초,100.0
15시 55분 45초,99.25
15시 55분 46초,98.25
15시 55분 47초,99.25
15시 55분 48초,98.75
15시 55분 49초,99.5
15시 55분 50초,100.0
15시 55분 51초,99.75
15시 55분 52초,100.0
15시 55분 53초,99.75
15시 55분 54초,99.25
15시 55분 55초,100.0
15시 55분 56초,99.75
15시 55분 57초,99.5
15시 55분 58초,99.75
15시 55분 59초,99.75
15시 56분 00초,99.25
15시 56분 01초,99.75
15시 56분 02초,99.5
15시 56분 03초,98.75
15시 56분 04초,100.0
15시 56분 05초,99.75
15시 56분 06초,99.75
15시 56분 07초,99.75
15시 56분 08초,100.0
15시 56분 09초,99.5
15시 56분 10초,100.0
15시 56분 11초,100.0
15시 56분 12초,99.5
15시 56분 13초,100.0
15시 56분 14초,99.5
15시 56분 15초,100.0
15시 56분 16초,100.0
15시 56분 17초,99.5
15시 56분 18초,100.0
15시 56분 19초,100.0
15시 56분 20초,99.75
15시 56분 21초,100.0
15시 56분 22초,100.0
15시 56분 23초,99.75
15시 56분 24초,100.0
15시 56분 25초,100.0
15시 56분 26초,100.0
15시 56분 27초,99.75
15시 56분 28초,100.0
15시 56분 29초,100.0
15시 56분 30초,99.75
15시 56분 31초,100.0
15시 56분 32초,99.75
15시 56분 33초,99.75
15시 56분 34초,99.5
15시 56분 35초,99.75
15시 56분 36초,99.75
15시 56분 37초,99.75
15시 56분 38초,100.0
15시 56분 39초,100.0
15시 56분 40초,100.0
15시 56분 41초,100.0
15시 56분 42초,99.75
15시 56분 43초,99.75
15시 56분 44초,100.0
15시 56분 45초,99.25
15시 56분 46초,100.0
15시 56분 47초,99.75
15시 56분 48초,100.0
15시 56분 49초,99.75
15시 56분 50초,100.0
15시 56분 51초,100.0
15시 56분 52초,100.0
15시 56분 53초,100.0
15시 56분 54초,100.0
15시 56분 55초,100.0
15시 56분 56초,100.0
15시 56분 57초,99.75
15시 56분 58초,100.0
15시 56분 59초,99.75
15시 57분 00초,99.75
15시 57분 01초,100.0
15시 57분 02초,99.5
15시 57분 03초,99.75
15시 57분 04초,100.0
16시 03분 22초,99.75
16시 03분 23초,99.5
16시 03분 24초,99.75
16시 03분 25초,99.75
16시 03분 26초,99.75
16시 03분 27초,100.0
16시 03분 28초,98.75
16시 03분 29초,99.75
16시 03분 30초,99.75
16시 03분 31초,99.75
16시 03분 32초,99.5
16시 03분 33초,99.0
16시 03분 34초,96.98
16시 03분 35초,99.5
16시 03분 36초,99.75
16시 03분 37초,97.24
16시 03분 38초,99.25
16시 03분 39초,100.0
16시 03분 40초,99.25
16시 03분 41초,99.0
16시 03분 42초,99.75
16시 03분 43초,99.5
16시 03분 44초,99.75
16시 03분 45초,98.75
16시 03분 46초,100.0
16시 03분 47초,100.0
16시 03분 48초,100.0
16시 03분 49초,100.0
16시 03분 50초,99.75
16시 03분 51초,100.0
16시 03분 52초,100.0
16시 03분 53초,99.5
16시 03분 54초,100.0
16시 03분 55초,100.0
16시 03분 56초,99.75
16시 03분 57초,99.75
16시 03분 58초,99.5
16시 03분 59초,100.0
16시 04분 00초,99.75
16시 04분 01초,99.5
16시 04분 02초,100.0
16시 04분 03초,99.5
16시 04분 04초,100.0
16시 04분 05초,99.75
16시 04분 06초,99.75
16시 04분 07초,99.5
16시 04분 08초,99.25
16시 04분 09초,100.0
16시 04분 10초,99.75
16시 04분 11초,98.75
16시 04분 12초,99.75
16시 04분 13초,99.75
16시 04분 14초,100.0
16시 04분 15초,100.0
16시 04분 16초,99.75
16시 04분 17초,100.0
16시 04분 18초,99.75
16시 04분 19초,100.0
16시 04분 20초,100.0
