Time,cpu usage
21시 25분 23초,99.5
21시 25분 24초,99.5
21시 25분 25초,99.75
21시 25분 26초,100.0
21시 25분 27초,99.49
21시 25분 28초,99.5
21시 25분 29초,100.0
21시 25분 30초,99.75
21시 25분 31초,98.5
21시 25분 32초,99.5
21시 25분 33초,98.26
21시 25분 34초,99.5
21시 25분 35초,99.75
21시 25분 36초,99.0
21시 25분 37초,99.5
21시 25분 38초,99.75
21시 25분 39초,99.75
21시 25분 40초,99.75
21시 25분 41초,99.25
21시 25분 42초,99.75
21시 25분 43초,99.75
21시 25분 44초,99.75
21시 25분 45초,99.75
21시 25분 46초,100.0
21시 25분 47초,100.0
21시 25분 48초,99.75
21시 25분 49초,100.0
21시 25분 50초,100.0
21시 25분 51초,99.5
21시 25분 52초,99.5
21시 25분 53초,99.75
21시 25분 54초,100.0
21시 25분 55초,100.0
21시 25분 56초,100.0
21시 25분 57초,100.0
21시 25분 58초,99.25
21시 25분 59초,100.0
21시 26분 00초,99.5
21시 26분 01초,99.75
21시 26분 02초,99.75
21시 26분 03초,100.0
21시 26분 04초,99.75
21시 26분 05초,99.75
21시 26분 06초,100.0
21시 26분 07초,100.0
21시 26분 08초,99.75
21시 26분 09초,100.0
21시 26분 10초,99.25
21시 26분 11초,99.5
21시 26분 12초,100.0
21시 26분 13초,100.0
21시 26분 14초,99.0
21시 26분 15초,100.0
21시 26분 16초,99.75
21시 26분 17초,98.75
21시 32분 07초,99.5
21시 32분 08초,98.75
21시 32분 09초,100.0
21시 32분 10초,99.75
21시 32분 11초,100.0
21시 32분 12초,99.75
21시 32분 13초,99.01
21시 32분 14초,99.75
21시 32분 15초,100.0
21시 32분 16초,97.26
21시 32분 17초,99.75
21시 32분 18초,100.0
21시 32분 19초,99.75
21시 32분 20초,99.75
21시 32분 21초,100.0
21시 32분 22초,99.5
21시 32분 23초,99.75
21시 32분 24초,99.5
21시 32분 25초,100.0
21시 32분 26초,99.75
21시 32분 27초,99.25
21시 32분 28초,100.0
21시 32분 29초,99.75
21시 32분 30초,100.0
21시 32분 31초,99.5
21시 32분 32초,99.5
21시 32분 33초,100.0
