Time,cpu usage
14시 18분 54초,0.51
14시 18분 55초,2.03
14시 18분 56초,0.5
14시 18분 57초,1.25
14시 18분 58초,0.76
14시 18분 59초,1.0
14시 19분 00초,1.0
14시 19분 01초,1.51
14시 19분 02초,1.25
14시 19분 03초,0.75
14시 19분 04초,0.0
14시 19분 05초,1.01
14시 19분 06초,0.76
14시 19분 07초,1.0
14시 19분 08초,1.26
14시 19분 09초,1.0
14시 19분 10초,0.75
14시 19분 11초,0.76
14시 19분 12초,1.0
14시 19분 13초,1.27
14시 19분 14초,1.5
14시 19분 15초,1.27
14시 19분 16초,1.25
14시 19분 17초,2.02
14시 19분 18초,1.01
14시 19분 19초,1.26
14시 19분 20초,1.25
14시 19분 21초,1.5
14시 19분 22초,0.75
14시 19분 23초,0.5
14시 19분 24초,1.26
14시 19분 25초,1.0
14시 19분 26초,1.01
14시 19분 27초,2.02
14시 19분 28초,1.01
14시 19분 29초,1.25
14시 19분 30초,0.75
14시 19분 31초,0.76
14시 19분 32초,1.25
14시 19분 33초,1.01
14시 19분 34초,1.01
14시 19분 35초,1.0
14시 19분 36초,1.01
14시 19분 37초,1.27
14시 19분 38초,1.26
14시 19분 39초,1.26
14시 19분 40초,2.02
14시 19분 41초,1.77
14시 19분 42초,2.02
14시 19분 43초,0.76
14시 19분 44초,1.5
14시 19분 45초,0.76
14시 19분 46초,1.76
14시 19분 47초,1.0
14시 19분 48초,1.52
14시 19분 49초,1.0
14시 19분 50초,0.25
14시 19분 51초,0.76
14시 19분 52초,0.75
14시 19분 53초,1.5
14시 20분 10초,0.51
14시 20분 11초,1.25
14시 20분 12초,2.03
14시 20분 13초,1.26
14시 20분 14초,1.01
14시 20분 15초,2.0
14시 20분 16초,0.5
14시 20분 17초,1.26
14시 20분 18초,0.5
14시 20분 19초,1.52
14시 20분 20초,0.5
14시 20분 21초,1.75
14시 20분 22초,2.03
14시 20분 23초,0.5
14시 20분 24초,0.5
14시 20분 25초,1.5
14시 20분 26초,2.52
